,blue,blue,blue,blue,green,green,green,green,red,red,red,red,yellow,yellow,yellow,yellow
,fn,fp,tn,tp,fn,fp,tn,tp,fn,fp,tn,tp,fn,fp,tn,tp
0,,,,,3,3,29,7,,,,,1,4,35,2
1,8.0,0.0,33.0,1.0,3,3,29,7,0.0,37.0,0.0,5.0,1,4,35,2
2,1.0,16.0,17.0,8.0,3,3,29,7,1.0,0.0,37.0,4.0,1,4,35,2
3,0.0,31.0,2.0,9.0,3,3,29,7,2.0,0.0,37.0,3.0,1,4,35,2
4,0.0,19.0,14.0,9.0,3,3,29,7,2.0,0.0,37.0,3.0,1,4,35,2
5,0.0,22.0,11.0,9.0,4,1,31,6,2.0,0.0,37.0,3.0,1,4,35,2
6,0.0,20.0,13.0,9.0,4,1,31,6,2.0,0.0,37.0,3.0,1,4,35,2
7,0.0,20.0,13.0,9.0,6,0,32,4,2.0,0.0,37.0,3.0,1,3,36,2
8,0.0,20.0,13.0,9.0,5,0,32,5,2.0,0.0,37.0,3.0,1,3,36,2
9,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,1,3,36,2
10,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,1,3,36,2
11,0.0,10.0,23.0,9.0,6,0,32,4,4.0,0.0,37.0,1.0,0,2,37,3
12,0.0,10.0,23.0,9.0,6,0,32,4,4.0,0.0,37.0,1.0,0,2,37,3
13,0.0,10.0,23.0,9.0,6,0,32,4,4.0,0.0,37.0,1.0,0,2,37,3
14,0.0,10.0,23.0,9.0,6,0,32,4,4.0,0.0,37.0,1.0,0,2,37,3
15,0.0,10.0,23.0,9.0,6,0,32,4,3.0,0.0,37.0,2.0,0,2,37,3
16,0.0,10.0,23.0,9.0,6,0,32,4,3.0,0.0,37.0,2.0,0,1,38,3
17,0.0,10.0,23.0,9.0,6,0,32,4,3.0,0.0,37.0,2.0,0,1,38,3
18,0.0,10.0,23.0,9.0,6,0,32,4,3.0,0.0,37.0,2.0,0,1,38,3
19,0.0,10.0,23.0,9.0,5,0,32,5,3.0,0.0,37.0,2.0,1,1,38,2
20,0.0,10.0,23.0,9.0,5,0,32,5,3.0,0.0,37.0,2.0,0,1,38,3
21,0.0,11.0,22.0,9.0,4,0,32,6,3.0,0.0,37.0,2.0,1,1,38,2
22,0.0,10.0,23.0,9.0,4,0,32,6,3.0,0.0,37.0,2.0,1,1,38,2
23,0.0,10.0,23.0,9.0,4,0,32,6,3.0,0.0,37.0,2.0,1,1,38,2
24,0.0,10.0,23.0,9.0,4,0,32,6,3.0,0.0,37.0,2.0,1,1,38,2
25,0.0,10.0,23.0,9.0,4,0,32,6,3.0,0.0,37.0,2.0,1,1,38,2
26,0.0,10.0,23.0,9.0,6,0,32,4,4.0,0.0,37.0,1.0,1,1,38,2
27,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,1,1,38,2
28,1.0,10.0,23.0,8.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
29,1.0,10.0,23.0,8.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
30,1.0,10.0,23.0,8.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
31,0.0,9.0,24.0,9.0,5,0,32,5,3.0,0.0,37.0,2.0,0,1,38,3
32,0.0,9.0,24.0,9.0,5,0,32,5,3.0,0.0,37.0,2.0,0,1,38,3
33,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
34,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
35,0.0,10.0,23.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
36,0.0,10.0,23.0,9.0,5,0,32,5,5.0,0.0,37.0,0.0,0,1,38,3
37,0.0,10.0,23.0,9.0,5,0,32,5,5.0,0.0,37.0,0.0,0,1,38,3
38,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
39,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
40,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
41,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
42,0.0,9.0,24.0,9.0,2,0,32,8,4.0,0.0,37.0,1.0,0,1,38,3
43,0.0,9.0,24.0,9.0,2,0,32,8,4.0,0.0,37.0,1.0,0,1,38,3
44,0.0,9.0,24.0,9.0,2,0,32,8,4.0,0.0,37.0,1.0,0,1,38,3
45,0.0,9.0,24.0,9.0,2,0,32,8,4.0,0.0,37.0,1.0,0,1,38,3
46,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
47,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
48,0.0,9.0,24.0,9.0,5,0,32,5,4.0,0.0,37.0,1.0,0,1,38,3
49,0.0,9.0,24.0,9.0,5,0,32,5,5.0,0.0,37.0,0.0,0,1,38,3
